Structure_ID,Building_Name,latitude,longitude,Street_Name,Street__Number,City,Closest__Station_ID,Distance_To__Closest__Station_km_For_Maule_Chile_2010,Distance_To__Closest__Station_km_For_Valparaiso_Chile_1985,General___Drawings,Main__Building__Photo,Example_of__Severe_Damage,Closest__Station_Name,Max__Hor__PGA__g__For_Maule_Chile_2010,Max__Hor__PGA__g__For_Valparaiso_Chile_1985,Max__Hor__PGV__m_s__For_Maule_Chile_2010,Max__Hor__PGV__m_s__For_Valparaiso_Chile_1985
57,ALTAMAR,-33.015838,-71.556724,SAN MARTIN,575,Viña del Mar,8,1.18828718877523,3.10528765141668,/data/tools/geoexplorer/Chile-NIST/general_drawings/57/9/typical_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/57/5/santiago_pujol_IMG_0915.JPG,,CENTRO,0.334,0.363,0.33,
58,LOS ALAMOS,,,3 NORTE,207,Viña del Mar,,,,/data/tools/geoexplorer/Chile-NIST/general_drawings/58/9/first_story_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Valparaiso.Chile.1985/58/9/srs_534_los_alamos1.jpg,,,,,,
59,LAS TERRAZAS,,,5 PONIENTE,336,Viña del Mar,,,,/data/tools/geoexplorer/Chile-NIST/general_drawings/59/9/first_story_plan.pdf\n/data/tools/geoexplorer/Chile-NIST/general_drawings/59/9/typical_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/59/40/jon_heintz_DSC05868.JPG,,,,,,
59,LAS TERRAZAS,,,5 PONIENTE,336,Viña del Mar,,,,/data/tools/geoexplorer/Chile-NIST/general_drawings/59/9/first_story_plan.pdf\n/data/tools/geoexplorer/Chile-NIST/general_drawings/59/9/typical_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/59/40/jon_heintz_DSC05868.JPG,,,,,,
60,EL MAR,,,VICUNA MACKENNA,S/N,Viña del Mar,,,,/data/tools/geoexplorer/Chile-NIST/general_drawings/60/9/first_story_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Valparaiso.Chile.1985/60/9/srs_534_el_mar1.jpg,,,,,,
61,ANCONA,,,7 NORTE,65,Viña del Mar,,,,/data/tools/geoexplorer/Chile-NIST/general_drawings/61/9/first_story_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/61/4/andres_lepage_DSCN0586.jpg,,,,,,
61,ANCONA,,,7 NORTE,65,Viña del Mar,,,,/data/tools/geoexplorer/Chile-NIST/general_drawings/61/9/first_story_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/61/4/andres_lepage_DSCN0586.jpg,,,,,,
62,MARINA,,,MARINA,94,Viña del Mar,,,,/data/tools/geoexplorer/Chile-NIST/general_drawings/62/9/fifth_and_sixth_story_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Valparaiso.Chile.1985/62/9/srs_534_marina1.jpg,,,,,,
63,SAUSALITO,,,7 NORTE,52,Viña del Mar,,,,/data/tools/geoexplorer/Chile-NIST/general_drawings/63/9/second_story_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Valparaiso.Chile.1985/63/9/srs_534_sausalito1.jpg,,,,,,
64,FONTANA,-33.020175,-71.559725,2 NORTE,17,Viña del Mar,8,1.00853237628034,2.59654693673954,/data/tools/geoexplorer/Chile-NIST/general_drawings/64/9/fourth_story_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/64/4/andres_lepage_DSCN0421.jpg,,CENTRO,0.334,0.363,0.33,
71,RIVIERA,-33.019547,-71.558898,3 NORTE,60,Viña del Mar,8,0.989564680561198,2.69938358866416,/data/tools/geoexplorer/Chile-NIST/general_drawings/71/9/first_story_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/71/4/andres_lepage_DSCN0397.jpg,,CENTRO,0.334,0.363,0.33,
